ausanjo01,1994,Joseph John,R,51,2,41
austde01,1965,Dennis Kay,R,14,2,15
austije01,2001,,R,55,3,38
austiji02,1991,James Parker,R,48,3,83
autryal01,1976,Albert,R,3,1,1
avreaja01,1950,James Epherium,R,2,1,2
axelrdy01,2011,Dylan Davis Haines,R,19,1,4
axforjo01,2009,John B,R,171,3,131
ayalabo01,1992,Robert Joseph,R,541,9,406
ayalalu01,2003,Luis Ignacio,R,294,9,429
aybarma01,1997,Manuel Antonio,R,273,10,208
aydelja01,1884,Jacob Stuart,R,35,2,14
ayersbi01,1947,William Oscar,R,22,1,13
ayersdo01,1913,Yancey Wyatt,R,622,10,299
ayraubo01,1992,Robert Cunningham,R,42,3,54
babcobo01,1979,Robert Ernest,R,39,3,39
babicjo01,1934,John Charles,R,231,5,112
backebr01,2002,Brandon Allen,R,360,8,145
backmle01,1909,Lester John,R,76,2,47
bacsimi01,1975,Michael James,R,77,5,73
badenbu01,2008,Burke Heinrich,R,190,4,151
baderlo01,1912,Lore Verne,R,27,3,22
baeched01,1926,Edward Joseph,R,61,6,64
baekch01,2004,Cha Seung,R,184,5,59
baezda01,2001,Denis (Gonzalez),R,505,11,533
bagbyji01,1912,James Charles Jacob (Sr.),R,450,9,316
bagbyji02,1938,James Charles Jacob (Jr.),R,431,10,303
bahnsst01,1966,Stanley Raymond,R,1359,19,574
bahred01,1946,Edson Garfield,R,69,2,46
baichgr01,1914,Grover Cleveland,R,3,1,4
bailean01,2009,Andrew Scott,R,174,3,157
baileco01,1993,Phillip Cory,R,150,8,172
baileho02,2007,David Dewitt,R,338,5,78
bailero01,1995,Charles Roger,R,162,3,92
bailest01,1967,Steven John,R,47,2,34
bailesw01,1919,Abraham Lincoln,R,35,4,52
bailobo01,1980,Robert Michael,R,0,1,3
bainlo01,1945,Herbert Loren,R,1,1,3
bairdo01,1976,Charles Douglas,R,689,18,584
bajenje01,2004,Jeffrey Michael,R,11,3,14
bakelje01,1883,Edward Enoch,R,669,9,215
bakenda01,1964,David Lee,R,0,1,2
bakeral01,1938,Albert Jones,R,2,1,3
bakerer01,1905,Earnest Gould,R,1,1,1
bakerki01,1890,Kirtley,R,115,5,58
bakerne01,1927,Neal Vernon,R,3,1,5
bakersc02,2005,Timothy Scott,R,770,7,163
bakerst01,1978,Steven Byrne,R,131,5,84
bakerto01,1935,Thomas Calvin,R,58,5,68
balasmi01,1938,Mitchell Francis,R,0,1,1
baldsja01,1961,Jack Edward,R,555,9,457
baldwda01,1966,David George,R,164,6,176
baldwha01,1924,Howard Edward,R,5,2,11
baldwja01,1995,James (Jr.),R,844,14,266
baldwki01,1885,Clarence Geoghan,R,1,1,2
baldwma01,1887,Marcus Elmore,R,1354,8,347
baldwof01,1908,Orson F.,R,5,1,4
baldwri01,1975,Rickey Alan,R,86,3,105
balesco01,2008,Collin T.,R,132,4,62
balfogr01,2001,,R,370,9,323
balleja01,1982,Jay Scot,R,117,6,94
ballima01,1971,Mark Alan,R,25,1,18
ballowi01,1925,Noble Winfred,R,109,4,99
balsato01,1962,Anthony Fred,R,27,1,18
bambege01,1951,George Irvin,R,3,3,10
bandosa01,1979,Salvatore Leonard,R,0,1,1
baneydi01,1969,Richard Lee,R,38,3,42
bankhda01,1947,Daniel Robert,R,111,3,52
bankhsc01,1986,Michael Scott,R,614,10,267
banksbi01,1895,William John,R,10,2,5
